model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Make
Touareg,2008,5950,Automatic,119000,Diesel,570,28.5,3,vw
Tiguan,2017,20990,Semi-Auto,56000,Diesel,145,57.6,2,vw
Tucson,2017,14498,Manual,12811,Diesel,150,61.7,1.7,Hyundai
X3,2016,20000,Semi-Auto,34334,Diesel,150,54.3,2,BMW
C-MAX,2014,7690,Manual,29495,Diesel,125,55.4,2,Ford
Octavia,2016,14875,Manual,40522,Diesel,30,62.8,2,skoda
3 Series,2016,12800,Automatic,58174,Diesel,30,67.3,2,BMW
Fiesta,2019,19000,Manual,5261,Petrol,150,40.3,1.5,Ford
Focus,2015,6490,Manual,69000,Diesel,0,74.3,1.5,Ford
Up,2019,9991,Manual,25,Petrol,145,54.3,1,vw
Fiesta,2018,12000,Manual,5099,Petrol,145,65.7,1,Ford
Q5,2019,33400,Semi-Auto,2852,Diesel,150,38.2,2,audi
Kona,2018,14954,Manual,10920,Petrol,145,44.1,1,Hyundai
1 Series,2017,14498,Manual,24259,Petrol,145,52.3,1.5,BMW
Q3,2013,9000,Manual,108220,Diesel,150,54.3,2,audi
Octavia,2016,7795,Manual,89230,Diesel,0,74.3,1.6,skoda
Aygo,2018,7800,Manual,12142,Petrol,145,68.9,1,toyota
4 Series,2019,29898,Semi-Auto,101,Diesel,145,60.1,2,BMW
Polo,2016,10495,Manual,34413,Petrol,20,60.1,1.2,vw
3 Series,2019,27999,Automatic,9214,Diesel,145,52.3,2,BMW
A1,2015,15000,Semi-Auto,20600,Petrol,30,56.5,1.4,audi
Q3,2019,31990,Automatic,4500,Petrol,145,31.4,2,audi
Golf,2015,8950,Manual,64221,Diesel,0,68.9,1.6,vw
2 Series,2017,15887,Automatic,46827,Hybrid,135,141.2,1.5,BMW
2 Series,2019,17950,Manual,3387,Petrol,145,42.2,1.5,BMW
A6,2016,13498,Semi-Auto,78545,Diesel,20,67.3,2,audi
A4,2017,29000,Semi-Auto,17302,Petrol,145,37.7,3,audi
Tiguan,2019,25395,Manual,5771,Diesel,145,47.9,2,vw
Polo,2014,9751,Manual,34977,Petrol,20,61.4,1.4,vw
Amarok,2019,28995,Manual,800,Diesel,260,32.5,3,vw
Focus,2015,7998,Manual,61904,Diesel,0,74.3,1.5,Ford
Tiguan,2019,25995,Semi-Auto,33033,Diesel,145,39.8,2,vw
Polo,2017,12995,Semi-Auto,14500,Petrol,150,60.1,1.2,vw
Fiesta,2016,6990,Manual,50000,Petrol,0,65.7,1,Ford
4 Series,2019,28480,Semi-Auto,7384,Diesel,145,51.4,3,BMW
Scala,2019,15312,Manual,4292,Petrol,145,49.6,1,skoda
Arteon,2019,26998,Semi-Auto,25,Diesel,145,50.4,2,vw
Golf,2017,19490,Automatic,39079,Diesel,150,57.7,2,vw
I30,2020,25999,Manual,6000,Petrol,150,34,2,Hyundai
Q7,2016,28490,Automatic,32000,Diesel,160,48.7,3,audi
Golf,2019,18990,Semi-Auto,5523,Petrol,150,45.6,1.5,vw
A5,2017,22990,Semi-Auto,41000,Diesel,145,62.8,2,audi
4 Series,2019,30980,Semi-Auto,2649,Petrol,145,41.5,3,BMW
Yaris,2018,11995,Automatic,12514,Petrol,150,60.1,1.5,toyota
Corolla,2019,22990,Automatic,9000,Hybrid,135,78.5,1.8,toyota
Rapid,2017,9750,Semi-Auto,17647,Petrol,20,60.1,1.2,skoda
Golf,2019,21700,Manual,3744,Petrol,150,45.6,1.5,vw
EcoSport,2019,17990,Semi-Auto,10,Petrol,150,44.1,1,Ford
Citigo,2018,7995,Manual,22291,Petrol,145,64.2,1,skoda
Focus,2018,12050,Manual,19460,Petrol,145,51.4,1.5,Ford
X6,2019,52990,Semi-Auto,3086,Diesel,145,34.9,3,BMW
Fiesta,2016,8299,Manual,16060,Diesel,0,78.5,1.5,Ford
Kuga,2018,17400,Manual,6063,Diesel,145,47.9,2,Ford
Tiguan,2019,31999,Manual,6336,Diesel,145,42.8,2,vw
Fiesta,2019,13500,Manual,9565,Petrol,145,55.4,1,Ford
7 Series,2019,51500,Semi-Auto,561,Diesel,145,42.2,3,BMW
A3,2017,19082,Manual,6931,Diesel,145,65.7,2,audi
Fiesta,2015,7999,Manual,39061,Petrol,20,62.8,1,Ford
EcoSport,2017,8489,Manual,60190,Petrol,160,44.8,1.5,Ford
5 Series,2016,14600,Automatic,42947,Diesel,125,60.1,2,BMW
Q2,2018,22888,Semi-Auto,14569,Petrol,145,52.3,1.4,audi
A1,2016,12800,Manual,45454,Petrol,30,56.5,1.4,audi
4 Series,2019,25374,Automatic,151,Diesel,145,60.1,2,BMW
Focus,2020,18490,Manual,1421,Petrol,145,49.6,1,Ford
Focus,2017,9299,Manual,39904,Petrol,20,61.4,1,Ford
Ka+,2018,7795,Manual,15345,Petrol,145,57.7,1.2,Ford
X1,2016,15994,Manual,24984,Diesel,125,58.9,2,BMW
Up,2020,11590,Manual,25,Petrol,145,51.4,1,vw
3 Series,2019,23498,Automatic,9117,Diesel,145,54.3,2,BMW
Fiesta,2014,4395,Manual,83780,Petrol,30,54.3,1.2,Ford
Q2,2019,20500,Manual,6652,Diesel,145,49.6,1.6,audi
Tucson,2015,16750,Automatic,21000,Diesel,240,43.5,2,Hyundai
A6,2019,46750,Automatic,6200,Diesel,145,35.8,3,audi
X6,2019,58900,Automatic,15,Diesel,145,34.9,3,BMW
Q2,2019,24000,Manual,5200,Petrol,145,43.5,1,audi
Aygo,2017,7990,Automatic,38211,Other,150,67.3,1,toyota
3 Series,2016,16099,Automatic,40217,Hybrid,0,148.7,2,BMW
RAV4,2019,33892,Automatic,7735,Hybrid,135,49.6,2.5,toyota
Passat,2019,15350,Manual,9809,Diesel,145,55.4,2,vw
TT,2015,13898,Manual,60362,Diesel,30,62.8,2,audi
C-MAX,2015,9300,Manual,22198,Diesel,30,61.4,1.6,Ford
1 Series,2019,23995,Manual,3148,Petrol,145,41.5,1.5,BMW
Focus,2019,16125,Manual,1388,Petrol,145,51.4,1.5,Ford
I20,2017,8000,Manual,31538,Petrol,145,58.9,1.2,Hyundai
Golf SV,2015,10401,Manual,36500,Petrol,30,55.4,1.4,vw
Tucson,2018,17999,Manual,12000,Petrol,150,34.9,1.6,Hyundai
Superb,2019,20998,Semi-Auto,3562,Diesel,150,47.9,1.6,skoda
Up,2016,8491,Manual,12170,Petrol,20,64.2,1,vw
C-MAX,2017,11800,Manual,16311,Diesel,20,68.9,1.5,Ford
Polo,2011,2750,Manual,126000,Petrol,125,51.4,1.2,vw
Q2,2017,19900,Manual,16755,Petrol,145,52.3,1.4,audi
X3,2016,20998,Semi-Auto,25574,Diesel,145,54.3,2,BMW
Ka+,2017,7990,Manual,12194,Petrol,145,57.7,1.2,Ford
A6,2015,11695,Automatic,96230,Diesel,30,64.2,2,audi
X5,2016,32499,Automatic,27851,Diesel,205,47.1,3,BMW
T-Roc,2018,18490,Manual,5952,Diesel,150,50.4,1.6,vw
Fiesta,2017,7763,Manual,29435,Petrol,145,54.3,1.2,Ford
A4,2019,29990,Semi-Auto,9000,Diesel,150,44.1,2,audi
Aygo,2019,9450,Manual,1749,Petrol,145,57.7,1,toyota
Auris,2018,11995,Manual,20508,Petrol,150,52.3,1.2,toyota
Kona,2018,13499,Manual,8906,Petrol,145,52.3,1,Hyundai
A3,2016,14500,Manual,34728,Petrol,30,57.6,1.4,audi
Q2,2017,18900,Automatic,20887,Petrol,145,52.3,1.4,audi
Kona,2018,12377,Manual,13812,Petrol,145,52.3,1,Hyundai
I10,2016,5191,Manual,28224,Petrol,20,61.4,1,Hyundai
Yaris,2017,10995,Automatic,9851,Petrol,145,60.1,1.5,toyota
B-MAX,2014,7199,Manual,38058,Diesel,20,70.6,1.6,Ford
IX35,2013,8199,Manual,26454,Diesel,145,48.7,1.7,Hyundai
Fiesta,2018,10500,Manual,9535,Petrol,145,65.7,1,Ford
Focus,2019,19490,Manual,500,Petrol,145,47.9,1,Ford
X5,2019,51950,Semi-Auto,13,Diesel,150,37.7,3,BMW
Kuga,2017,14998,Manual,15707,Diesel,145,64.2,1.5,Ford
Golf SV,2019,20995,Manual,1700,Diesel,145,53.3,1.6,vw
Golf SV,2015,9491,Manual,28252,Diesel,0,72.4,1.6,vw
X3,2015,12000,Automatic,126700,Diesel,150,54.3,2,BMW
2 Series,2019,23450,Semi-Auto,9683,Diesel,145,57.7,2,BMW
Q2,2017,17990,Manual,12300,Petrol,145,52.3,1.4,audi
Auris,2013,9995,Automatic,38000,Hybrid,0,74.3,1.8,toyota
A4,2017,14980,Manual,30000,Petrol,145,50.4,2,audi
A8,2018,42000,Automatic,9756,Petrol,145,37.7,3,audi
Auris,2014,12990,Automatic,34922,Hybrid,0,70.6,1.8,toyota
I40,2014,7498,Manual,51515,Diesel,30,62.8,1.7,Hyundai
Focus,2017,10999,Semi-Auto,33362,Petrol,145,51.4,1,Ford
A4,2016,14500,Manual,25634,Petrol,145,51.4,1.4,audi
Focus,2018,13995,Manual,12449,Petrol,145,57.7,1,Ford
Kuga,2018,16000,Manual,23931,Diesel,145,64.2,1.5,Ford
Golf,2017,13350,Manual,18000,Petrol,30,53.3,1.4,vw
Fabia,2017,8995,Manual,20465,Petrol,20,60.1,1.2,skoda
Focus,2017,11499,Manual,11091,Petrol,145,60.1,1,Ford
Tiguan,2017,25990,Semi-Auto,25049,Diesel,150,44.1,2,vw
Focus,2018,19427,Manual,21863,Petrol,145,41.5,2,Ford
EcoSport,2018,13495,Manual,13221,Petrol,145,53.3,1,Ford
Yaris,2019,11330,Manual,5069,Petrol,145,47.9,1.5,toyota
A4,2019,25990,Automatic,5973,Diesel,145,48.7,2,audi
Auris,2018,16970,Automatic,35394,Hybrid,135,65.6,1.8,toyota
GT86,2012,9995,Automatic,74599,Petrol,200,39.8,2,toyota
5 Series,2019,27950,Semi-Auto,9239,Hybrid,150,62.8,2,BMW
Q2,2019,21500,Automatic,5999,Diesel,145,47.9,1.6,audi
A3,2016,10470,Automatic,76000,Diesel,30,62.8,2,audi
Fabia,2017,8995,Manual,8000,Petrol,20,60.1,1.2,skoda
Kuga,2017,12295,Manual,20813,Diesel,30,64.2,1.5,Ford
Beetle,2014,9965,Manual,36262,Petrol,150,47.9,1.2,vw
Focus,2019,19110,Automatic,3277,Diesel,145,51.4,2,Ford
Up,2017,6450,Manual,29455,Petrol,20,64.2,1,vw
TT,2019,27990,Semi-Auto,1266,Petrol,145,40.9,2,audi
Q3,2015,12199,Manual,56040,Diesel,30,61.4,2,audi
Fiesta,2018,11200,Manual,10531,Petrol,145,65.7,1,Ford
Octavia,2017,11995,Semi-Auto,22965,Petrol,145,57.7,1.4,skoda
Q2,2020,26500,Semi-Auto,1500,Petrol,145,42.2,1.5,audi
Focus,2018,12690,Semi-Auto,15637,Petrol,145,51.4,1,Ford
Focus,2017,10980,Manual,23928,Petrol,20,60.1,1,Ford
Fiesta,2018,10800,Manual,6303,Petrol,150,58.9,1,Ford
Aygo,2017,6950,Manual,20643,Petrol,0,68.9,1,toyota
X4,2019,34990,Semi-Auto,5656,Diesel,150,42.8,2,BMW
Amarok,2019,35995,Automatic,3655,Diesel,260,33.6,3,vw
Fiesta,2019,13498,Manual,9007,Petrol,145,58.9,1,Ford
Mondeo,2019,19400,Manual,5753,Diesel,145,65.7,2,Ford
Q5,2012,12699,Manual,84356,Diesel,200,47.9,2,audi
1 Series,2014,9500,Manual,36672,Diesel,30,65.7,2,BMW
Golf,2011,5750,Manual,80000,Diesel,125,57.6,2,vw
Tiguan,2019,28346,Semi-Auto,5581,Diesel,145,45.6,2,vw
3 Series,2018,24888,Semi-Auto,7298,Diesel,145,51.4,3,BMW
Aygo,2018,6450,Manual,35979,Petrol,145,69,1,toyota
Focus,2019,17520,Manual,8,Petrol,145,60.1,1,Ford
Polo,2016,9000,Manual,27333,Petrol,20,60.1,1.2,vw
Golf,2019,27990,Automatic,2776,Petrol,145,37.7,2,vw
Golf,2013,9992,Semi-Auto,57707,Petrol,20,60.1,1.4,vw
Kuga,2018,20750,Automatic,5911,Petrol,145,31,1.5,Ford
Fiesta,2017,9460,Manual,7695,Petrol,145,64.2,1.1,Ford
T-Roc,2019,30995,Automatic,1000,Petrol,145,32.5,2,vw
5 Series,2015,18722,Semi-Auto,30000,Diesel,165,51.4,3,BMW
Polo,2017,10000,Manual,34541,Petrol,20,60.1,1.2,vw
Focus,2017,16250,Manual,10816,Petrol,145,41.5,2,Ford
Golf,2018,15200,Manual,11534,Petrol,145,47.1,1.5,vw
Focus,2019,16999,Manual,7865,Petrol,150,60.1,1,Ford
Aygo,2019,10606,Automatic,8560,Petrol,145,55.4,1,toyota
Golf,2019,29601,Automatic,10100,Petrol,145,37.7,2,vw
3 Series,2016,18299,Automatic,25431,Hybrid,0,134.5,2,BMW
Tucson,2019,15000,Manual,22397,Petrol,150,34.9,0,Hyundai
Kuga,2018,18600,Manual,12947,Diesel,145,60.1,2,Ford
5 Series,2016,14999,Automatic,42803,Diesel,30,62.8,2,BMW
I30,2018,14000,Manual,8265,Petrol,145,52.3,1.4,Hyundai
Aygo,2019,9295,Manual,10,Petrol,145,56.5,1,toyota
Kona,2018,13998,Manual,12443,Petrol,145,44.1,1,Hyundai
Golf,2016,12360,Manual,13570,Petrol,30,53.3,1.4,vw
I20,2017,8600,Manual,19398,Petrol,30,58.9,0,Hyundai
Superb,2019,18900,Semi-Auto,13853,Diesel,145,61.4,2,skoda
4 Series,2015,16480,Automatic,31935,Diesel,30,65.7,2,BMW
Up,2017,6940,Manual,27332,Petrol,145,64.2,1,vw
5 Series,2017,21850,Automatic,34704,Diesel,150,65.7,2,BMW
IX35,2013,7776,Manual,47232,Diesel,200,48.7,2,Hyundai
A3,2016,16000,Automatic,57407,Diesel,125,57.6,2,audi
Fabia,2017,8795,Manual,6767,Petrol,145,57.7,1,skoda
Kodiaq,2019,22984,Automatic,6940,Petrol,150,34,1.5,skoda
X1,2020,26950,Manual,18,Petrol,145,49.6,1.5,BMW
Q5,2016,24430,Automatic,64685,Diesel,240,42.8,3,audi
Focus,2019,19500,Automatic,5589,Diesel,145,64.2,2,Ford
1 Series,2010,4995,Manual,93800,Diesel,30,62.8,2,BMW
Yaris,2016,7995,Manual,24790,Petrol,0,66,1,toyota
3 Series,2016,14300,Manual,27184,Diesel,125,58.9,2,BMW
Kuga,2014,9356,Manual,42342,Diesel,145,53.3,2,Ford
Ka+,2018,9000,Manual,10882,Petrol,145,57.7,1.2,Ford
Tiguan,2008,4980,Manual,72000,Petrol,325,31.7,2,vw
1 Series,2013,10965,Automatic,37808,Diesel,30,64.2,2,BMW
X5,2014,27498,Automatic,28056,Petrol,555,26.9,4.4,BMW
Focus,2017,15998,Manual,16290,Diesel,20,67.3,2,Ford
EcoSport,2019,15995,Manual,13474,Petrol,150,51.4,1,Ford
Fiesta,2013,7795,Manual,30641,Petrol,0,65.7,1,Ford
Q2,2019,30990,Semi-Auto,3000,Petrol,145,33.2,2,audi
1 Series,2015,9681,Manual,40176,Petrol,145,50.4,1.6,BMW
Q5,2014,16000,Manual,46622,Diesel,205,47.9,2,audi
Arteon,2019,29498,Semi-Auto,50,Petrol,145,47.1,2,vw
5 Series,2013,12791,Semi-Auto,55642,Diesel,145,55.4,2,BMW
X4,2019,42995,Automatic,5980,Diesel,145,37.2,3,BMW
4 Series,2020,39225,Semi-Auto,10,Petrol,145,48.7,2,BMW
Tiguan,2019,22995,Manual,6498,Petrol,145,38.2,1.5,vw
Tiguan,2019,31990,Automatic,4191,Diesel,145,45.6,2,vw
7 Series,2019,50980,Semi-Auto,7606,Diesel,145,44.8,3,BMW
A1,2014,6900,Manual,90000,Diesel,0,74.3,1.6,audi
EcoSport,2017,8799,Manual,52333,Petrol,165,44.8,1.5,Ford
Polo,2017,9980,Manual,13875,Petrol,20,58.9,1,vw
A4,2019,27160,Semi-Auto,17790,Diesel,145,47.9,2,audi
Scala,2019,14990,Manual,4451,Petrol,150,49.6,1,skoda
A5,2017,19500,Automatic,29885,Petrol,145,55.4,2,audi
Fiesta,2017,12500,Manual,26294,Petrol,145,47.9,1.6,Ford
A4,2016,11500,Manual,72056,Diesel,0,72.4,2,audi
T-Cross,2019,22990,Automatic,30431,Petrol,145,45.6,1,vw
X5,2016,29250,Automatic,41464,Hybrid,0,85.6,2,BMW
EcoSport,2017,8849,Manual,19799,Petrol,150,44.8,1.5,Ford
EcoSport,2018,15200,Manual,9892,Petrol,145,51.4,1,Ford
Up,2013,5999,Manual,43623,Petrol,20,60.1,1,vw
3 Series,2014,11999,Manual,49969,Diesel,30,61.4,2,BMW
Focus,2018,19000,Semi-Auto,14976,Diesel,145,61.4,2,Ford
4 Series,2016,15957,Manual,33805,Diesel,30,62.8,2,BMW
Octavia,2019,18950,Automatic,5040,Diesel,145,72.4,1.6,skoda
Q3,2016,20750,Semi-Auto,35233,Petrol,200,42.2,2,audi
Fiesta,2017,8137,Manual,28903,Petrol,150,65.7,1,Ford
A5,2017,20499,Manual,10987,Diesel,145,68.9,2,audi
Aygo,2017,7650,Automatic,44152,Petrol,145,67.3,1,toyota
3 Series,2010,3690,Manual,96000,Diesel,30,62.8,2,BMW
1 Series,2019,15995,Manual,5500,Diesel,145,68.9,2,BMW
T-Roc,2020,25999,Semi-Auto,2000,Petrol,150,39.8,1.5,vw
Fiesta,2018,8700,Manual,37345,Petrol,145,64.2,1.1,Ford
Fiesta,2018,12840,Semi-Auto,9283,Petrol,145,48.7,1,Ford
Caravelle,2019,46788,Automatic,4479,Diesel,145,33.6,2,vw
2 Series,2016,13790,Manual,27255,Petrol,125,50.4,1.5,BMW
Fiesta,2017,8194,Manual,15731,Petrol,145,54.3,1.2,Ford
A1,2016,8500,Manual,75869,Diesel,0,80.7,1.6,audi
Yaris,2017,12790,Automatic,33659,Hybrid,0,86,1.5,toyota
C-MAX,2016,10998,Semi-Auto,10434,Diesel,20,64.2,1.5,Ford
Fiesta,2017,11498,Manual,10415,Petrol,20,62.8,1,Ford
Golf,2014,8795,Manual,42275,Diesel,0,68.9,1.6,vw
Fiesta,2018,15000,Manual,22104,Petrol,150,65.7,1,Ford
I30,2018,11250,Manual,12364,Diesel,145,74.3,1.6,Hyundai
Tiguan,2019,23990,Automatic,5352,Petrol,145,37.7,1.5,vw
T-Roc,2019,21290,Manual,5599,Diesel,145,50.4,2,vw
3 Series,2017,12600,Manual,44596,Petrol,150,48.7,2,BMW
EcoSport,2017,10499,Manual,23453,Petrol,125,52.3,1,Ford
Q5,2019,35490,Semi-Auto,6000,Diesel,150,38.2,2,audi
Touran,2019,21990,Automatic,7071,Diesel,145,49.6,1.6,vw
Kamiq,2019,20390,Semi-Auto,10,Petrol,145,44.1,1.5,skoda
A4,2019,28900,Semi-Auto,150,Diesel,145,53.3,2,audi
Fiesta,2019,14290,Automatic,1000,Petrol,150,48.7,1,Ford
Passat,2017,14690,Manual,43875,Diesel,20,67.3,2,vw
Focus,2017,10990,Manual,37287,Diesel,150,74.3,1.5,Ford
Yeti Outdoor,2015,10550,Manual,28039,Diesel,200,47.9,2,skoda
EcoSport,2014,7500,Manual,23000,Petrol,125,53.3,1,Ford
T-Roc,2018,19999,Manual,6108,Petrol,145,53.3,1.5,vw
EcoSport,2017,10298,Manual,8935,Petrol,165,44.8,1.5,Ford
Mustang,2016,27925,Manual,11600,Petrol,580,20.9,5,Ford
Fiesta,2013,7500,Manual,42165,Petrol,0,65.7,1,Ford
Passat,2016,11720,Semi-Auto,59913,Diesel,30,61.1,2,vw
Kuga,2015,13675,Manual,39136,Diesel,145,54.3,2,Ford
5 Series,2016,16900,Automatic,16095,Diesel,30,62.8,2,BMW
Passat,2019,36000,Automatic,6821,Hybrid,135,41.5,1.4,vw
Yaris,2018,11998,Manual,6899,Petrol,145,47.1,1.5,toyota
Polo,2017,10298,Manual,21899,Petrol,20,60.1,1.2,vw
Prius,2017,14800,Automatic,58458,Hybrid,135,94.1,1.8,toyota
Golf,2014,9690,Manual,48700,Petrol,30,53.3,1.4,vw
Golf SV,2019,21490,Automatic,5500,Diesel,145,52.3,2,vw
Golf,2019,24989,Automatic,5613,Petrol,145,37.7,2,vw
Focus,2016,9280,Manual,30150,Diesel,0,74.3,1.5,Ford
Aygo,2017,9295,Manual,7824,Petrol,145,68.9,1,toyota
Tiguan,2018,22995,Semi-Auto,9604,Diesel,145,49.6,2,vw
Tiguan,2019,23390,Manual,9817,Diesel,145,47.9,2,vw
Fiesta,2017,8491,Manual,11655,Petrol,150,54.3,1.2,Ford
Kuga,2018,16500,Manual,14000,Diesel,150,60.1,2,Ford
Beetle,2007,2295,Manual,89000,Petrol,265,36.7,1.6,vw
Golf,2017,13350,Manual,29167,Petrol,30,53.3,1.4,vw
Fiesta,2018,10860,Manual,10510,Petrol,150,65.7,1,Ford
A3,2018,21990,Semi-Auto,17800,Diesel,145,62.8,2,audi
5 Series,2016,18749,Automatic,41431,Diesel,160,51.4,3,BMW
Fiesta,2017,8400,Manual,25693,Petrol,145,65.7,1,Ford
X1,2016,19990,Automatic,20000,Diesel,150,56.5,2,BMW
Tiguan,2017,17390,Manual,35112,Diesel,160,50.4,2,vw
Fiesta,2018,11499,Semi-Auto,32094,Petrol,145,54.3,1,Ford
2 Series,2017,16950,Semi-Auto,11569,Petrol,150,53.3,1.5,BMW
3 Series,2016,16900,Automatic,38480,Hybrid,0,148.7,2,BMW
5 Series,2020,41995,Semi-Auto,100,Diesel,145,60.1,2,BMW
Polo,2017,10995,Manual,15685,Petrol,150,60.1,1.2,vw
Focus,2015,6645,Manual,72000,Diesel,0,74.3,1.5,Ford
2 Series,2019,20460,Manual,1250,Diesel,145,51.4,2,BMW
I10,2017,7500,Manual,3379,Petrol,20,60.1,1,Hyundai
Golf,2016,11490,Manual,48293,Diesel,0,74.3,1.6,vw
A3,2019,22450,Semi-Auto,5454,Petrol,145,42.2,1.5,audi
Focus,2019,15320,Manual,9369,Petrol,145,60.1,1,Ford
S-MAX,2017,19999,Automatic,14781,Diesel,145,52.3,2,Ford
Fiesta,2015,7250,Manual,19913,Petrol,0,65.7,1,Ford
Golf,2015,12090,Manual,67239,Diesel,20,67.3,2,vw
A3,2016,15399,Manual,22501,Petrol,30,57.6,1.4,audi
X6,2020,55995,Semi-Auto,3291,Diesel,145,33.2,3,BMW
Polo,2017,10790,Manual,20140,Petrol,20,60.1,1.2,vw
Octavia,2020,21690,Automatic,1908,Petrol,150,37.7,2,skoda
Fiesta,2017,10300,Manual,12218,Petrol,145,65.7,1,Ford
A3,2016,10999,Manual,36281,Diesel,0,74.3,1.6,audi
X2,2020,32980,Semi-Auto,1500,Diesel,145,61.4,2,BMW
Fiesta,2018,11450,Manual,15220,Petrol,145,65.7,1,Ford
A1,2019,22000,Semi-Auto,4700,Petrol,150,40.9,2,audi
Fiesta,2018,11170,Manual,10442,Petrol,145,58.9,1,Ford
Tiguan,2017,25995,Automatic,22801,Other,235,38.2,2,vw
Q3,2020,37888,Automatic,1500,Petrol,145,30.7,0,audi
Yaris,2016,8495,Manual,33778,Petrol,30,55,1.3,toyota
Touareg,2019,45990,Automatic,10514,Petrol,145,25.5,3,vw
I20,2017,7490,Manual,35937,Petrol,30,58.9,1.2,Hyundai
Octavia,2018,16410,Semi-Auto,2500,Petrol,150,56.5,1.5,skoda
Focus,2019,26299,Manual,3764,Petrol,145,34.5,2.3,Ford
Fiesta,2019,19250,Manual,3773,Petrol,145,55.4,1,Ford
6 Series,2016,20999,Automatic,45140,Diesel,200,49.6,3,BMW
TT,2020,54995,Semi-Auto,2000,Petrol,145,30.1,2.5,audi
EcoSport,2019,16995,Manual,6000,Petrol,145,53.3,1,Ford
Mondeo,2017,10590,Manual,56663,Diesel,30,65.7,2,Ford
Scala,2020,22500,Semi-Auto,3000,Petrol,150,44.8,1.5,skoda
Touran,2018,18792,Manual,18138,Diesel,145,51.4,1.6,vw
Passat,2016,12995,Manual,34991,Diesel,20,67.3,1.6,vw
Kona,2018,14298,Manual,8795,Petrol,145,44.1,1,Hyundai
X2,2019,31790,Semi-Auto,4169,Petrol,145,34,2,BMW
4 Series,2019,32790,Semi-Auto,8464,Diesel,145,50.4,3,BMW
Grand C-MAX,2015,8995,Manual,38058,Diesel,125,60.1,1.6,Ford
A3,2016,11000,Manual,37235,Diesel,0,74.3,1.6,audi
Q2,2017,18490,Manual,14000,Petrol,145,52.3,1.4,audi
Citigo,2013,5000,Manual,32716,Petrol,0,68.9,1,skoda
Auris,2012,8499,Automatic,67698,Hybrid,0,72.4,1.8,toyota
Fabia,2017,10250,Semi-Auto,21052,Diesel,145,70.6,1.4,skoda
Auris,2013,12300,Automatic,38986,Hybrid,0,70.6,1.8,toyota
Golf SV,2019,17290,Manual,6811,Petrol,145,45.6,1.5,vw
1 Series,2016,9100,Manual,54596,Diesel,0,83.1,1.5,BMW
A5,2016,21998,Semi-Auto,27385,Petrol,260,35.8,3,audi
Golf,2013,6490,Manual,75000,Diesel,0,68.9,1.6,vw
Auris,2015,8290,Manual,24765,Petrol,30,58.9,1.2,toyota
T-Cross,2020,22880,Automatic,1000,Petrol,145,45.6,1,vw
I40,2017,11120,Manual,30043,Diesel,145,65.7,1.7,Hyundai
Fiesta,2018,12810,Manual,33144,Petrol,145,62.8,1,Ford
Aygo,2016,6000,Manual,23530,Petrol,0,69,1,toyota
2 Series,2019,30480,Automatic,123,Petrol,145,38.2,3,BMW
Octavia,2013,7995,Manual,46166,Petrol,125,53.3,1.4,skoda
S-MAX,2016,19499,Automatic,27119,Petrol,260,35.8,2,Ford
5 Series,2017,21998,Semi-Auto,25260,Diesel,145,60.1,2,BMW
A3,2018,18998,Manual,9118,Petrol,145,58.9,1.4,audi
1 Series,2017,20498,Semi-Auto,16875,Petrol,145,39.8,3,BMW
Q8,2019,62950,Semi-Auto,9991,Diesel,150,32.8,3,audi
Up,2018,8712,Manual,1607,Petrol,145,64.2,1,vw
Golf,2019,21250,Manual,50,Diesel,145,55.4,2,vw
1 Series,2014,11399,Semi-Auto,56926,Diesel,30,64.2,2,BMW
Yeti Outdoor,2017,11798,Manual,26957,Petrol,125,51.4,1.2,skoda
M4,2020,45990,Semi-Auto,6,Petrol,145,34,3,BMW
Tiguan,2019,18507,Manual,15004,Petrol,145,40.9,1.5,vw
IX20,2017,11199,Automatic,4076,Petrol,145,43.5,1.6,Hyundai
Fiesta,2019,15995,Manual,10956,Petrol,145,58.9,1,Ford
Q3,2015,15250,Semi-Auto,56310,Diesel,160,50.4,2,audi
Superb,2019,22458,Semi-Auto,6692,Petrol,145,36.7,1.5,skoda
I10,2019,11495,Manual,500,Petrol,145,60.1,1,Hyundai
X6,2019,56290,Automatic,5980,Diesel,145,34.9,3,BMW
Aygo,2016,6500,Manual,15630,Petrol,0,69,1,toyota
Tucson,2017,11900,Manual,53402,Diesel,145,61.7,1.7,Hyundai
Fiesta,2015,9995,Manual,14500,Petrol,0,65.7,1,Ford
Tucson,2019,18495,Semi-Auto,15000,Petrol,150,36.2,1.6,Hyundai
Golf,2015,8969,Manual,47746,Diesel,0,74.3,1.6,vw
Polo,2016,8995,Manual,30933,Petrol,20,60.1,1.2,vw
4 Series,2017,17990,Manual,29926,Diesel,30,62.8,2,BMW
A3,2018,16950,Manual,28950,Petrol,145,60.1,1,audi
A3,2015,9795,Manual,113110,Diesel,20,67.3,2,audi
Auris,2015,13450,Automatic,46817,Hybrid,0,76.4,1.8,toyota
Fiesta,2018,12750,Manual,3391,Petrol,145,56.5,1,Ford
RAV4,2016,23000,Automatic,15364,Hybrid,20,55.4,2.5,toyota
Scirocco,2016,12998,Manual,57362,Diesel,20,55.4,2,vw
Fiesta,2014,5295,Manual,58680,Petrol,30,54.3,1.2,Ford
B-MAX,2016,7895,Manual,41818,Petrol,30,57.7,1,Ford
